iter	RMSE
0	686.4674692
1	675.2186926
2	664.1016839
3	652.4104237
4	641.605706
5	631.5172142
6	623.074981
7	614.6568137
8	605.8160724
9	596.699305
10	587.343334
11	578.9533465
12	570.6477813
13	563.1767584
14	555.5720113
15	547.978818
16	541.027466
17	534.3870331
18	527.8866639
19	522.2332581
20	516.3546646
21	510.0576377
22	504.0395557
23	498.8857531
24	493.5604172
25	488.6068083
26	483.4422056
27	478.9423542
28	474.3650429
29	469.3756253
30	464.4323172
31	459.5638592
32	454.9439554
33	450.8798406
34	446.7836852
35	442.7415175
36	439.0563957
37	435.167116
38	431.6951978
39	428.3797032
40	425.1252447
41	421.6561597
42	418.766846
43	415.4058514
44	412.7646558
45	409.686284
46	406.7254941
47	404.0198103
48	401.4040592
49	398.6404454
50	396.2746364
51	394.0941352
52	392.0118578
53	389.6945393
54	387.0907593
55	384.6738455
56	382.6829241
57	380.5852315
58	378.4704295
59	376.2929827
60	374.5628802
61	372.3061808
62	369.9836338
63	367.5996306
64	365.8439949
65	363.6807037
66	361.6589469
67	359.622415
68	358.182327
69	356.5591831
70	354.8685692
71	352.7929938
72	351.2432524
73	349.5139335
74	347.5507587
75	346.2113993
76	344.6739364
77	343.2960568
78	341.7336355
79	340.3263243
80	338.9533447
81	337.8367211
82	336.4823805
83	335.1736607
84	333.7044913
85	332.5883133
86	331.4875318
87	330.5236616
88	329.0475047
89	327.7931563
90	326.7067816
91	325.7250732
92	324.5119391
93	323.2621155
94	322.1314793
95	320.8746094
96	320.1193344
97	319.1096849
98	318.0017749
99	317.0096162
100	316.1572218
101	315.0515483
102	314.055351
103	313.2875477
104	312.3794469
105	311.648554
106	310.4875712
107	309.7022347
108	308.6358763
109	307.5441995
110	306.4735213
111	305.2332839
112	304.490409
113	303.4368076
114	302.7192521
115	301.7518184
116	300.9653771
117	300.0931477
118	299.5040809
119	298.5772733
120	297.7148643
121	297.1088344
122	295.9284726
123	295.0353142
124	294.328597
125	293.5705336
126	292.9051858
127	292.2636248
128	291.1866755
129	290.5693237
130	290.101987
131	289.124301
132	288.281114
133	287.7483621
134	286.9798814
135	286.1690652
136	285.351293
137	284.718979
138	283.8960961
139	283.3741805
140	282.897485
141	282.2896177
142	281.693625
143	281.1863535
144	280.5033281
145	280.0306011
146	279.5743857
147	278.9516626
148	278.364529
149	277.8774664
150	277.5059296
151	276.7735377
152	275.9362677
153	275.5084037
154	274.7064328
155	274.1554043
156	273.4636825
157	272.9537083
158	272.4964223
159	271.9071234
160	271.385304
161	270.6052225
162	270.0848085
163	269.6956449
164	269.1439407
165	268.5895796
166	267.9291713
167	267.1487244
168	266.6386281
169	266.0566473
170	265.4492033
171	264.8873272
172	264.3441152
173	263.6833221
174	263.1149161
175	262.6476942
176	262.0888368
177	261.5969883
178	260.7099565
179	260.1722087
180	259.7482697
181	259.1326441
182	258.43198
183	258.1605121
184	257.740372
185	257.4566921
186	256.9347821
187	256.6237933
188	256.0772031
189	255.5786912
190	255.2221124
191	254.8370978
192	254.526965
193	254.1635579
194	253.8037317
195	253.463047
196	252.9745637
197	252.8005505
198	252.3366608
199	251.7310694
200	251.3956511
201	250.9364813
202	250.4963131
203	250.0729512
204	249.6482463
205	249.2198093
206	248.8289897
207	248.4092766
208	248.0423486
209	247.4763133
210	247.0952014
211	246.6026257
212	246.2531662
213	245.9830106
214	245.4596331
215	245.1034748
216	244.6805659
217	244.3273543
218	243.7511032
219	243.4238896
220	242.922081
221	242.5202971
222	242.1191189
223	241.6281449
224	241.4816102
225	241.1323906
226	240.5215893
227	240.1330462
228	239.7745274
229	239.2282958
230	238.9074779
231	238.5636059
232	238.1163332
233	237.725044
234	237.4759893
235	237.2163962
236	236.9181978
237	236.6879071
