iter	Passed	Remaining
0	2	1462
1	5	1439
2	8	1428
3	12	1587
4	15	1529
5	17	1481
6	20	1445
7	23	1430
8	25	1402
9	28	1395
10	30	1376
11	33	1366
12	35	1345
13	38	1333
14	40	1318
15	42	1297
16	44	1274
17	46	1257
18	49	1243
19	50	1217
20	52	1203
21	54	1191
22	56	1175
23	58	1163
24	60	1151
25	62	1137
26	64	1134
27	66	1122
28	68	1110
29	70	1100
30	72	1089
31	73	1077
32	75	1067
33	77	1058
34	79	1054
35	81	1047
36	82	1038
37	84	1031
38	86	1025
39	88	1018
40	90	1011
41	92	1003
42	93	998
43	95	990
44	97	983
45	99	977
46	101	973
47	102	968
48	104	963
49	106	957
50	108	952
51	110	948
52	111	944
53	114	943
54	116	942
55	118	939
56	120	936
57	122	933
58	124	931
59	126	927
60	128	922
61	130	918
62	131	914
63	133	911
64	135	906
65	137	902
66	139	898
67	140	894
68	142	891
69	144	887
70	146	884
71	148	880
72	149	877
73	151	873
74	153	872
75	155	869
76	157	867
77	159	864
78	161	860
79	163	857
80	165	854
81	166	851
82	168	847
83	170	843
84	172	839
85	173	836
86	175	834
87	177	832
88	180	831
89	181	828
90	183	825
91	185	822
92	187	819
93	189	816
94	190	814
95	192	811
96	194	807
97	196	804
98	198	802
99	199	799
100	201	796
101	203	794
102	205	791
103	207	789
104	209	786
105	211	784
106	212	781
107	214	778
108	216	775
109	218	773
110	220	771
111	222	769
112	224	767
113	225	764
114	227	761
115	229	758
116	231	756
117	232	753
118	234	751
119	236	749
120	238	746
121	240	744
122	242	742
123	243	739
124	245	737
125	247	735
126	249	733
127	251	731
128	253	728
129	255	726
130	257	724
131	259	722
132	261	720
133	262	718
134	264	715
135	266	713
136	268	711
137	270	709
138	272	706
139	273	704
140	275	701
141	277	699
142	279	696
143	280	694
144	282	692
145	284	690
146	286	687
147	288	685
148	290	683
149	291	680
150	293	678
151	295	675
152	296	673
153	298	671
154	300	669
155	302	667
156	304	664
157	306	662
158	307	660
159	309	657
160	311	655
161	313	653
162	315	652
163	317	649
164	319	648
165	321	646
166	323	645
167	325	643
168	327	641
169	329	639
170	331	637
171	332	634
172	334	632
173	336	630
174	338	628
175	340	626
176	342	624
177	344	622
178	345	620
179	347	618
180	349	616
181	351	613
182	353	611
183	359	616
184	361	615
185	364	615
186	366	613
187	369	614
188	372	613
189	375	612
190	378	611
191	380	610
192	383	610
193	386	609
194	389	609
195	394	611
196	396	610
197	399	608
198	401	608
199	405	608
200	407	606
201	410	605
202	412	603
203	415	602
204	417	601
205	421	601
206	424	600
207	426	599
208	429	597
209	431	595
210	434	595
211	437	594
212	439	592
213	442	591
214	444	589
215	447	587
216	451	588
217	454	588
218	458	587
219	460	586
220	463	584
221	466	584
222	470	584
223	473	583
224	476	581
225	479	580
226	482	580
227	486	580
228	488	578
229	491	576
230	493	574
231	495	572
232	499	572
233	502	571
234	504	569
235	507	567
236	510	566
237	512	564
238	515	563
239	518	561
240	520	559
241	523	558
242	526	557
243	529	555
244	532	553
245	534	552
246	537	550
247	539	548
248	542	546
249	544	544
250	546	542
251	549	540
252	552	538
253	554	536
254	557	535
255	559	533
256	563	532
257	566	531
258	569	529
259	572	528
260	575	526
261	578	525
262	581	524
263	584	522
264	587	520
265	590	519
266	593	517
267	595	515
268	597	513
269	599	510
270	601	508
271	604	506
272	606	504
273	608	502
274	610	499
275	612	497
276	614	494
277	616	492
278	620	491
279	623	489
280	627	488
281	630	487
282	633	486
283	640	487
284	643	485
285	646	483
286	648	481
287	651	479
288	654	477
289	657	475
290	659	473
291	661	471
292	666	471
293	669	468
294	671	466
295	674	464
296	676	462
297	679	460
298	682	458
299	685	456
300	688	454
301	690	452
302	693	450
303	695	448
304	697	446
305	700	443
306	702	441
307	704	439
308	706	436
309	708	434
310	711	432
311	713	430
312	716	427
313	718	425
314	720	423
315	722	420
316	724	418
317	726	415
318	728	413
319	730	410
320	732	408
321	734	405
322	736	403
323	737	400
324	739	398
325	741	395
326	743	393
327	744	390
328	746	387
329	747	385
330	749	382
331	757	383
332	761	381
333	764	379
334	768	378
335	771	376
336	774	374
337	776	372
338	778	369
339	780	367
340	782	364
341	784	362
342	786	359
343	788	357
344	790	355
345	792	352
346	794	350
347	796	347
348	798	345
349	800	342
350	801	340
351	803	337
352	805	335
353	807	333
354	809	330
355	810	328
356	812	325
357	814	322
358	816	320
359	817	318
360	819	315
361	821	313
362	823	310
363	824	308
364	826	305
365	828	303
366	830	300
367	832	298
368	834	296
369	836	293
370	838	291
371	839	288
372	841	286
373	843	284
374	845	281
375	847	279
376	848	276
377	850	274
378	852	272
379	854	269
380	856	267
381	857	264
382	859	262
383	861	260
384	863	257
385	865	255
386	866	253
387	868	250
388	870	248
389	872	246
390	874	243
391	876	241
392	878	239
393	880	236
394	881	234
395	883	232
396	885	229
397	888	227
398	890	225
399	892	223
400	894	220
401	896	218
402	898	216
403	900	213
404	901	211
405	903	209
406	905	206
407	907	204
408	909	202
409	911	200
410	912	197
411	914	195
412	916	193
413	918	190
414	920	188
415	922	186
416	923	183
417	925	181
418	929	179
419	931	177
420	933	175
421	935	172
422	938	170
423	941	168
424	943	166
425	945	164
426	947	161
427	949	159
428	951	157
429	953	155
430	955	152
431	957	150
432	959	148
433	961	146
434	963	143
435	965	141
436	967	139
437	969	137
438	970	134
439	972	132
440	974	130
441	976	128
442	977	125
443	979	123
444	981	121
445	983	119
446	985	116
447	987	114
448	989	112
449	991	110
450	992	107
451	994	105
452	996	103
453	998	101
454	1000	98
455	1001	96
456	1003	94
457	1005	92
458	1007	89
459	1009	87
460	1011	85
461	1013	83
462	1014	81
463	1016	78
464	1018	76
465	1020	74
466	1022	72
467	1023	69
468	1025	67
469	1027	65
470	1028	63
471	1030	61
472	1032	58
473	1034	56
474	1036	54
475	1038	52
476	1039	50
477	1041	47
478	1043	45
479	1045	43
480	1047	41
481	1048	39
482	1050	36
483	1052	34
484	1054	32
485	1056	30
486	1059	28
487	1061	26
488	1062	23
489	1064	21
490	1066	19
491	1068	17
492	1070	15
493	1072	13
494	1074	10
495	1076	8
496	1078	6
497	1080	4
498	1081	2
499	1083	0
