iter	RMSE
0	667.8090792
1	641.0614155
2	613.5744644
3	590.8651409
4	569.9846773
5	552.4815788
6	534.0696947
7	516.9803228
8	501.5368158
9	487.8050881
10	476.6601862
11	466.3494615
12	457.7379999
13	447.4129152
14	438.590381
15	430.9480662
16	423.8954536
17	415.3016496
18	409.5194076
19	403.00281
20	398.6006968
21	393.7563083
22	388.4786358
23	382.7459702
24	376.8463082
25	372.8982861
26	368.2167192
27	364.3916272
28	360.3392315
29	356.6457088
30	354.3693163
31	351.357234
32	347.6213936
33	345.5092024
34	342.723276
35	340.30979
36	338.1227852
37	336.0821172
38	333.8860465
39	332.1726676
40	329.7257468
41	327.2714593
42	324.8287631
43	322.7310614
44	320.5374351
45	318.0014078
46	315.442235
47	313.1023491
48	311.0990745
49	309.5817741
50	306.3120062
51	305.0731175
52	303.2112433
53	300.9760897
54	298.7714843
55	297.2465158
56	295.4268245
57	294.2055146
58	292.2781031
59	291.0338444
60	289.8183698
61	288.0891066
62	287.1956098
63	286.1791075
64	285.2504259
65	284.2639272
66	283.3709085
67	282.3190238
68	281.24308
69	280.2538898
70	279.4227235
71	277.7094177
72	277.0434553
73	275.9630875
74	274.9089023
75	274.3225788
76	273.4159611
77	272.6814188
78	272.059983
79	270.3913131
80	268.8914712
81	268.178329
82	267.4416886
83	266.4401012
84	265.2218137
85	264.0541219
86	263.6846183
87	262.8226477
88	261.7750826
89	261.0341876
90	259.495408
91	258.6724134
92	257.7418971
93	256.5841744
94	256.1160599
95	254.8393335
96	254.4639097
97	254.1739629
98	253.2881211
99	252.4808138
100	251.9758195
101	251.1358739
102	250.3540187
103	250.0459031
104	249.2829331
105	248.7358037
106	247.7981549
107	246.6900658
108	246.1361882
109	245.8455253
110	245.777239
111	244.9432384
112	244.4713795
113	243.7928306
114	243.7412236
115	243.6504122
116	243.1405762
117	242.9529841
118	242.189254
119	241.0278397
120	240.1570942
121	239.2633095
122	238.985659
123	238.3142883
124	237.8817897
125	237.6702782
