iter	Passed	Remaining
0	3	2758
1	6	3086
2	10	3206
3	13	3087
4	16	2929
5	18	2790
6	24	3066
7	26	2909
8	27	2761
9	30	2692
10	32	2665
11	35	2594
12	37	2553
13	42	2672
14	44	2652
15	47	2639
16	49	2571
17	52	2575
18	55	2555
19	57	2512
20	58	2455
21	63	2516
22	70	2697
23	72	2649
24	74	2619
25	76	2581
26	79	2568
27	87	2733
28	89	2686
29	91	2640
30	92	2595
31	94	2561
32	101	2674
33	104	2652
34	106	2626
35	108	2604
36	110	2581
37	112	2559
38	115	2548
39	117	2520
40	118	2492
41	120	2462
42	122	2432
43	123	2406
44	125	2378
45	130	2419
46	132	2402
47	134	2378
48	135	2353
49	136	2328
50	138	2303
51	139	2279
52	141	2259
53	144	2257
54	146	2253
55	148	2242
56	150	2224
57	151	2203
58	153	2184
59	154	2165
60	156	2148
61	158	2145
62	160	2135
63	162	2123
64	164	2107
65	165	2091
66	166	2075
67	168	2060
68	169	2045
69	171	2031
70	173	2025
71	175	2018
72	177	2008
73	178	1996
74	180	1983
75	181	1970
76	183	1958
77	184	1944
78	185	1931
79	187	1919
80	192	1945
81	194	1937
82	195	1927
83	197	1914
84	198	1903
85	200	1893
86	201	1882
87	203	1873
88	206	1877
89	207	1868
90	209	1859
91	210	1849
92	212	1840
93	213	1831
94	214	1821
95	216	1811
96	217	1802
97	220	1806
98	222	1799
99	223	1791
100	225	1782
101	226	1774
102	228	1765
103	229	1757
104	230	1748
105	232	1740
106	235	1745
107	237	1742
108	240	1742
109	241	1736
110	243	1729
111	244	1722
112	246	1715
113	247	1708
114	250	1709
115	252	1708
116	254	1701
117	255	1695
118	257	1689
119	258	1683
120	260	1677
121	261	1670
122	263	1664
123	266	1665
124	268	1663
125	269	1657
126	271	1651
127	272	1645
128	274	1639
129	275	1632
130	277	1626
131	278	1620
132	280	1619
133	283	1618
134	285	1616
135	289	1624
136	293	1632
137	301	1666
138	303	1661
139	305	1656
140	306	1650
141	308	1645
142	310	1641
143	312	1640
144	314	1637
145	315	1631
146	317	1626
147	319	1621
148	320	1616
149	322	1610
150	323	1604
151	326	1605
152	330	1612
153	333	1614
154	335	1613
155	337	1611
156	339	1606
157	341	1604
158	344	1604
159	345	1599
160	348	1598
161	349	1594
162	351	1589
163	352	1583
164	354	1578
165	356	1575
166	359	1577
167	361	1573
168	362	1568
169	364	1563
170	365	1558
171	366	1552
172	368	1547
